feature,rmse_increase_mean,rmse_increase_std
y_phys,32.20554547079136,1.7125573276477903
phys_minus_mid,12.173528717448033,0.7750489511679013
tau_over_c,0.5764151523853694,0.10373129565172777
arr_tau_7000,0.4905490774730629,0.059481453444492204
t_eff_exit,0.4801641290559896,0.10055160842428702
length_m,0.4314239020363365,0.06829858356266427
phys_over_tau,0.4000304015747876,0.05300280822740363
arr_mix_tau_5000,0.36916697888389394,0.07354358129147728
k2_eff,0.3310529075819252,0.07885360627156858
k1_eff,0.30510942340175184,0.047157532460413355
jacket_temperature_K,0.30370262743893406,0.06739466322651928
arr_mix_tau_3000,0.3032844981755212,0.06887605524487732
temp_diff,0.29039393592969154,0.06256790166455223
c_dt,0.2869930625675644,0.04293123799658561
temp_mean,0.27769119374075324,0.04331195513181805
k1_tau,0.24696256669167704,0.0342899082227103
flow_rate_L_min,0.22993799779084229,0.06302405786398219
inlet_temperature_K,0.227688753885541,0.05304319328821456
arr_tau_3000,0.21428947792477882,0.04600912592716553
dt_tau,0.20796974548074534,0.06873383403225863
concentration_mol_L,0.20692947215725727,0.04138698040255481
phys_over_c_tau,0.19246307897462112,0.05284683777136774
arr_tau_5000,0.1613658416643737,0.030514837998925827
tin_sq_centered,0.1362159935797776,0.03265459301671444
inv_t_in,0.11588665338032775,0.03268450592097109
tj_tau,0.10032211177790043,0.024720967860591723
k2_tau,0.09079639421784287,0.01940182118876048
tj_sq_centered,0.08275574967173524,0.01391064819093465
arr_mix_tau_7000,0.08162890484737455,0.027744928208241725
c_tau,0.06192282682000896,0.013109158016004414
tin_tau,0.06122490871639148,0.025620592479365552
k1_over_k2,0.049465802005679446,0.031612511989216205
exposure_proxy,0.03768496938008596,0.008110020037966773
inv_t_j,0.032221268531780464,0.0084890092959787
