model,feature_family,cv_rmse_mean,cv_rmse_std,worst_fold_rmse,avg_oof_rmse,avg_oof_mae,avg_oof_r2,avg_oof_max_abs_error,avg_oof_low_yield_rmse,avg_oof_mid_yield_rmse,avg_oof_high_yield_rmse,avg_oof_yield_lt_10_rmse,avg_oof_yield_10_30_rmse,avg_oof_yield_30_70_rmse,avg_oof_yield_70_90_rmse,avg_oof_yield_gt_90_rmse,notes
PFR + Residual HGB,physics,8.238606184249292,2.4333535241941457,13.07060640164736,8.14086641930923,4.322149728172994,0.9548181890005085,38.57152969257836,7.110919211460463,10.101716045013294,8.102402255489565,7.110919211460463,4.850405734531829,11.522551467947192,9.339254268407721,5.558131731224726,Mechanistic PFR prediction plus HGB residual correction.
Physics ExtraTrees,physics,8.364673808732533,2.867030504724435,13.678401307291558,8.431430950821632,4.150503866222234,0.9515353642818996,40.31406846666666,7.036845315934674,11.357550678840294,8.015711848010131,7.036845315934674,5.6178724494630705,12.9274938218002,9.1110747014587,5.833276799603428,Physics-informed ExtraTrees with the ODE surrogate feature.
Gaussian Process,physics,8.507074955288218,2.615038724576366,13.634212944624592,8.620765877207454,4.796480317465909,0.9493342963352217,33.74881577433227,7.975261498348187,8.265696259350424,9.725383134087506,7.975261498348187,4.723142710980054,9.291236673536291,10.225158394693473,8.861096502956567,Gaussian process on the physics-informed feature set.
Physics HGB,physics,8.62297021495159,2.8556006650234145,13.088468261544689,8.495062257362552,4.420729844490904,0.9508010868009984,41.631868077136346,6.427120442143878,12.244489156320753,8.114044382674004,6.427120442143878,7.058951924453955,13.75123907449551,9.633830108104052,4.7308847508544885,Physics-informed HGB without target transform.
Physics HGB Logit,physics,8.663219877991963,2.821882242212636,15.623156968524905,7.99418476297829,4.3203096697408565,0.9564316873670167,42.19871856129665,6.35031479295969,11.682455348386206,7.0793597692592085,6.35031479295969,6.0252719963431485,13.25439597507829,7.778832365701504,5.776956025959231,Physics-informed HGB with bounded target transform.
Physics MLP,physics,9.578861614622722,2.9104394822961317,14.648702595511171,8.62982113724691,4.7489677891301305,0.949227801834477,36.2577035458373,7.003368763279441,9.761646792368168,9.93537697355952,7.003368763279441,5.663596696154936,10.9556120050831,11.238541308418927,7.365879000222379,Legacy-style physics-informed MLP on all 150 rows.
Mechanistic PFR,physics,9.74031190243971,2.473761028432645,14.967791898897168,9.723186334533741,5.383814284219259,0.9355475256713982,42.96560986641776,8.184814142479667,12.439370830804753,9.755592635254308,8.184814142479667,6.944314283637759,14.014903225233857,10.367413825662144,8.6796371106712,Mechanistic non-isothermal PFR surrogate with no data-driven correction.
ExtraTrees,engineered,14.80905510388756,2.870117480189005,20.999909364898766,14.826589390297608,10.142333169814828,0.8501333850620412,65.91318794444445,12.389620195404637,9.26686469744191,20.278633053504247,12.389620195404637,14.223629880612197,6.349214875928763,19.46261554301635,21.528366740051926,ExtraTrees on engineered features.
Random Forest,engineered,17.169168916396007,3.514660297596757,24.96682964471687,17.044995704783737,11.490536441746553,0.80193115478022,61.46943879264072,14.599670638177827,13.125134931568958,22.089513863707534,14.599670638177827,20.818119160745162,8.371968171748405,20.494343366659667,24.441501678788203,Tree ensemble on engineered features.
Small MLP,engineered,17.827327897260737,4.559617267830669,34.90599713766711,16.335425773245035,10.74847927231057,0.8180788073649049,48.734436782664545,11.692494631482761,12.83684974072067,23.084988646607492,11.692494631482761,18.10977337656667,10.046491351086452,24.449425192991825,20.69839978046405,Small regularized MLP without physics surrogate.
HistGradientBoosting,engineered,17.92296419972303,4.768350586477609,29.47232546971691,17.213974508828336,11.203104611719331,0.7979845020527874,77.41234475657438,13.72892718768465,13.307015720555391,23.246761403241518,13.72892718768465,18.915081554311044,10.313415839767668,22.373731714212415,24.588194757712014,Non-physics HGB baseline.
Polynomial Ridge,engineered,23.845519055234682,4.49556140924842,35.51825525318191,23.068271820780687,16.62077400740359,0.6372123472395177,100.0,23.23486517632318,17.015086903635755,26.185657411616955,23.23486517632318,22.786497103541695,14.128912359409997,25.678766889913483,26.982292280806647,Low-order polynomial regression without high-dimensional feature explosion.
Ridge,engineered,26.752040896841063,2.280249571277433,31.36310516976681,26.585694314399735,21.751957466656755,0.5181427574151729,63.059970132711186,21.962124233272853,24.710610037962923,33.33723157180264,21.962124233272853,34.429515916314365,19.639281681563237,33.13404896416718,33.6620018178664,Linear baseline on chemistry-aware engineered features.
